Title,Discreption,price,,,,
Address:,piliyandala,Land type:,"Commercial, Residential",Land size:,6.5 perches,"Rs 800,000 per perch"
Address:,Makandena,Land type:,Residential,Land size:,6.0 perches,"Rs 800,000 per perch"
Address:,Piliyandala Makandana,Land type:,"Agricultural, Commercial, Residential",Land size:,8.0 perches,"Rs 6,400,000 total price"
Address:,පිලියන්දල මඩපාත,Land type:,"Commercial, Residential",Land size:,7.0 perches,"Rs 800,000 per perch"
Address:,පිලියන්දල,Land type:,"Commercial, Residential",Land size:,6.9 perches,"Rs 800,000 per perch"
Address:,කැස්බෑව පිලියන්දල,Land type:,"Commercial, Residential",Land size:,6.8 perches,"Rs 800,000 per perch"
Address:,Piliyandala,Land type:,Residential,Land size:,15.0 perches,"Rs 1,100,000 per perch"
Address:,piliyandala kesbewa,Land type:,Residential,Land size:,18.2 perches,"Rs 600,000 per perch"
Address:,"Piliyandala, kotagedara",Land type:,"Commercial, Residential",Land size:,17.5 perches,"Rs 10,200,000 total price"
Address:,"පිලියන්දල ,කැස්බෑව",Land type:,Residential,Land size:,7.0 perches,"Rs 900,000 per perch"
Address:,Madapatha,Land type:,Residential,Land size:,6.0 perches,"Rs 800,000 per perch"
Address:,"පිළියන්දල ,බටුවන්දර",Land type:,"Commercial, Residential",Land size:,10.0 perches,"Rs 795,000 per perch"
Address:,Piliyandala Makandana,Land type:,"Commercial, Residential",Land size:,6.5 perches,"Rs 5,850,000 total price"
Address:,"Piliyandala, Wewala",Land type:,"Commercial, Residential, Other",Land size:,12.5 perches,"Rs 1,450,000 per perch"
Address:,පිලියන්දල මඩපාත,Land type:,"Commercial, Residential",Land size:,6.7 perches,"Rs 797,500 per perch"
Address:,gangarama road piliyandala,Land type:,Residential,Land size:,7.0 perches,"Rs 710,000 per perch"
Address:,makandana piliyandala,Land type:,Residential,Land size:,8.0 perches,"Rs 610,000 per perch"
Address:,"පිළියන්දල ,මාකන්දන",Land type:,Residential,Land size:,8.0 perches,"Rs 796,000 per perch"
Address:,මඩපාත,Land type:,"Commercial, Residential",Land size:,7.0 perches,"Rs 800,000 per perch"
Land type:,Residential,Land size:,10.0 perches,"Rs 1,100,000 per perch",,
Land type:,Residential,Land size:,20.0 perches,"Rs 1,100,000 per perch",,
Address:,"කලල්ගොඩ , තලවතුගොඩ",Land type:,"Commercial, Residential",Land size:,8.1 perches,"Rs 1,525,000 per perch"
Address:,මාකන්දන,Land type:,"Commercial, Residential",Land size:,6.5 perches,"Rs 785,000 per perch"
Address:,gangarama road piliyandala,Land type:,Residential,Land size:,6.4 perches,"Rs 710,000 per perch"
Address:,මාකන්දන,Land type:,"Commercial, Residential",Land size:,6.5 perches,"Rs 785,000 per perch"
Address:,"පිළියන්දල ,කැස්බෑව",Land type:,"Commercial, Residential",Land size:,10.0 perches,"Rs 799,000 per perch"
Address:,Piliyandala moratuwa rd,Land type:,Residential,Land size:,15.0 perches,"Rs 1,100,000 per perch"
Address:,කැස්බෑව,Land type:,"Commercial, Residential",Land size:,7.0 perches,"Rs 5,500,000 total price"
Address:,piliyandala kesbawa,Land type:,"Commercial, Residential",Land size:,6.8 perches,"Rs 800,000 per perch"
Address:,Madapatha,Land type:,Residential,Land size:,10.0 perches,"Rs 450,000 per perch"
Land type:,"Commercial, Residential",Land size:,6.72 perches,"Rs 831,781 per perch",,
Address:,Piliyandala,Land type:,Residential,Land size:,18.0 perches,"Rs 600,000 per perch"
Address:,කැස්බෑව,Land type:,"Commercial, Residential",Land size:,7.0 perches,"Rs 800,000 per perch"
Address:,piliyandala madapath,Land type:,"Commercial, Residential",Land size:,6.8 perches,"Rs 5,500,000 total price"
Address:,පිළියන්දල,Land type:,"Commercial, Residential",Land size:,6.3 perches,"Rs 795,000 per perch"
Address:,Makandena,Land type:,Residential,Land size:,6.0 perches,"Rs 800,000 per perch"
Address:,2 kanuwa junction  egodawatta road,Land type:,Residential,Land size:,6.5 perches,"Rs 3,300,000 total price"
Address:,Piliyandala,Land type:,Residential,Land size:,15.0 perches,"Rs 1,100,000 per perch"
Address:,Piliyandala,Land type:,Residential,Land size:,18.0 perches,"Rs 600,000 per perch"
Address:,madapath,Land type:,"Commercial, Residential",Land size:,7.0 perches,"Rs 800,000 per perch"
Address:,kesbawa piliyandala,Land type:,"Commercial, Residential",Land size:,6.8 perches,"Rs 5,500,000 total price"
Address:,piliyandala madapath,Land type:,"Commercial, Residential",Land size:,6.8 perches,"Rs 800,000 per perch"
Address:,පිළියන්දල,Land type:,"Commercial, Residential",Land size:,10.0 perches,"Rs 800,000 per perch"
Address:,Makandena,Land type:,Residential,Land size:,6.0 perches,"Rs 800,000 per perch"
Address:,piliyandala town,Land type:,Residential,Land size:,10.2 perches,"Rs 8,700,000 total price"
Address:,Gonamaditta Rd,Land type:,Residential,Land size:,8.0 perches,"Rs 775,000 per perch"
Land type:,Residential,Land size:,20.0 perches,"Rs 1,100,000 per perch",,
Land type:,Residential,Land size:,10.0 perches,"Rs 1,100,000 per perch",,
Land type:,Residential,Land size:,6.5 perches,"Rs 395,000 per perch",,
Address:,Kahathuduwa,Land type:,Residential,Land size:,6.0 perches,"Rs 390,000 per perch"
Address:,kesbawa,Land type:,"Commercial, Residential",Land size:,6.8 perches,"Rs 5,500,000 total price"
Address:,piliyandala,Land type:,"Commercial, Residential",Land size:,6.7 perches,"Rs 800,000 per perch"
Address:,Madapatha junction,Land type:,Residential,Land size:,6.0 perches,"Rs 800,000 per perch"
Land type:,"Commercial, Residential",Land size:,6.7 perches,"Rs 847,500 per perch",,
Address:,පිලියන්දල කැස්බෑව,Land type:,Residential,Land size:,7.0 perches,"Rs 900,000 per perch"
Address:,Piliyandala 255 road,Land type:,Residential,Land size:,15.0 perches,"Rs 1,100,000 per perch"
Address:,Piliyandala / kesbewa,Land type:,Residential,Land size:,18.0 perches,"Rs 600,000 per perch"
Address:,පිළියන්දල,Land type:,"Commercial, Residential",Land size:,6.0 perches,"Rs 800,000 per perch"
Land type:,"Commercial, Residential",Land size:,6.9 perches,"Rs 841,899 per perch",,
Address:,"piliyandela ,Makandena",Land type:,Residential,Land size:,6.0 perches,"Rs 800,000 per perch"
Address:,"ambalangoda,polgasowita",Land type:,Other,Land size:,80.0 perches,"Rs 550,000 per perch"
